bin_left,bin_right,count,fraction
3.643075942993164,3.9187278747558594,5255,0.00011684813593536232
3.9187278747558594,4.194379806518555,3507,7.798028786399918e-05
4.194379806518555,4.47003173828125,2459,5.4677367510001135e-05
4.47003173828125,4.745685577392578,2264,5.034142336016371e-05
4.745685577392578,5.021337509155273,2073,4.609442165442552e-05
5.021337509155273,5.296989440917969,1910,4.247001705738193e-05
5.296989440917969,5.572643280029297,1704,3.7889481186271624e-05
5.572643280029297,5.848295211791992,1507,3.350906581438459e-05
5.848295211791992,6.1239471435546875,1291,2.8706173833026216e-05
6.1239471435546875,6.399599075317383,1209,2.6882853728992016e-05
6.399599075317383,6.675252914428711,1160,2.5793308788776458e-05
6.675252914428711,6.950904846191406,1079,2.399222429576707e-05
6.950904846191406,7.226556777954102,1026,2.2813736911452283e-05
7.226556777954102,7.502208709716797,967,2.1501835860988652e-05
7.502208709716797,7.777862548828125,922,2.0501233364872323e-05
7.777862548828125,8.05351448059082,860,1.9122625481334272e-05
8.05351448059082,8.329166412353516,820,1.823320104034198e-05
8.329166412353516,8.604820251464844,773,1.718812732217604e-05
8.604820251464844,8.880472183227539,736,1.6365409714258167e-05
8.880472183227539,9.156124114990234,691,1.5364807218141838e-05
9.156124114990234,9.43177604675293,638,1.4186319833827053e-05
9.43177604675293,9.707429885864258,596,1.3252424170785147e-05
9.707429885864258,9.983081817626953,570,1.2674298284140158e-05
9.983081817626953,10.258733749389648,518,1.1518046510850178e-05
10.258733749389648,10.534387588500977,486,1.0806506958056344e-05
10.534387588500977,10.810039520263672,445,9.894846906039246e-06
10.810039520263672,11.085691452026367,402,8.938715631972531e-06
11.085691452026367,11.361343383789062,371,8.249411690203506e-06
11.361343383789062,11.63699722290039,341,7.582343359459287e-06
11.63699722290039,11.912649154663086,280,6.225971086946042e-06
11.912649154663086,12.188301086425781,255,5.67008081132586e-06
12.188301086425781,12.46395492553711,218,4.8473632034079895e-06
12.46395492553711,12.739606857299805,166,3.6911114301180106e-06
12.739606857299805,13.0152587890625,96,2.1346186583815002e-06
