bin_left,bin_right,count,fraction
-3.15000057220459,-3.087000608444214,1350,3.05907183273956e-05
-3.087000608444214,-3.024000644683838,0,0.0
-3.024000644683838,-2.961000442504883,0,0.0
-2.961000442504883,-2.898000478744507,0,0.0
-2.898000478744507,-2.835000514984131,0,0.0
-2.835000514984131,-2.772000551223755,6790,0.00015385998329112306
-2.772000551223755,-2.709000587463379,0,0.0
-2.709000587463379,-2.646000385284424,0,0.0
-2.646000385284424,-2.583000421524048,0,0.0
-2.583000421524048,-2.520000457763672,0,0.0
-2.520000457763672,-2.457000494003296,0,0.0
-2.457000494003296,-2.39400053024292,67337,0.001525842370379139
-2.39400053024292,-2.331000328063965,0,0.0
-2.331000328063965,-2.268000602722168,0,0.0
-2.268000602722168,-2.205000400543213,0,0.0
-2.205000400543213,-2.142000436782837,0,0.0
-2.142000436782837,-2.079000473022461,32715,0.0007413150741338867
-2.079000473022461,-2.016000270843506,0,0.0
-2.016000270843506,-1.9530004262924194,0,0.0
-1.9530004262924194,-1.890000343322754,0,0.0
-1.890000343322754,-1.827000379562378,0,0.0
-1.827000379562378,-1.764000415802002,0,0.0
-1.764000415802002,-1.7010003328323364,376961,0.00854185760845435
-1.7010003328323364,-1.6380003690719604,0,0.0
-1.6380003690719604,-1.5750004053115845,0,0.0
-1.5750004053115845,-1.512000322341919,0,0.0
-1.512000322341919,-1.449000358581543,0,0.0
-1.449000358581543,-1.386000394821167,582094,0.013190128588197788
-1.386000394821167,-1.3230003118515015,0,0.0
-1.3230003118515015,-1.2600003480911255,0,0.0
-1.2600003480911255,-1.19700026512146,0,0.0
-1.19700026512146,-1.134000301361084,0,0.0
-1.134000301361084,-1.071000337600708,0,0.0
-1.071000337600708,-1.008000373840332,2993311,0.0678278027165147
-1.008000373840332,-0.945000171661377,0,0.0
-0.945000171661377,-0.882000207901001,0,0.0
-0.882000207901001,-0.819000244140625,0,0.0
-0.819000244140625,-0.756000280380249,0,0.0
-0.756000280380249,-0.693000316619873,2896950,0.06564428256188791
-0.693000316619873,-0.630000114440918,0,0.0
-0.630000114440918,-0.567000150680542,0,0.0
-0.567000150680542,-0.504000186920166,0,0.0
-0.504000186920166,-0.44100022315979004,0,0.0
-0.44100022315979004,-0.37800025939941406,0,0.0
-0.37800025939941406,-0.3150002956390381,2820773,0.06391812763594272
-0.3150002956390381,-0.252000093460083,0,0.0
-0.252000093460083,-0.18900012969970703,0,0.0
-0.18900012969970703,-0.12600016593933105,0,0.0
-0.12600016593933105,-0.06300020217895508,0,0.0
-0.06300020217895508,-2.384185791015625e-07,0,0.0
-2.384185791015625e-07,0.06299996376037598,24972352,0.5658682859293142
0.06299996376037598,0.12599992752075195,0,0.0
0.12599992752075195,0.18899989128112793,0,0.0
0.18899989128112793,0.2519998550415039,0,0.0
0.2519998550415039,0.3149998188018799,0,0.0
0.3149998188018799,0.37799978256225586,2751136,0.06234016774545024
0.37799978256225586,0.44099998474121094,0,0.0
0.44099998474121094,0.5039999485015869,0,0.0
0.5039999485015869,0.5669999122619629,0,0.0
0.5669999122619629,0.6299998760223389,0,0.0
0.6299998760223389,0.6929998397827148,0,0.0
0.6929998397827148,0.7560000419616699,2876743,0.06518639615800519
0.7560000419616699,0.8190000057220459,0,0.0
0.8190000057220459,0.8819999694824219,0,0.0
0.8819999694824219,0.945000171661377,0,0.0
0.945000171661377,1.0079998970031738,0,0.0
1.0079998970031738,1.071000099182129,2825685,0.06402943253107173
1.071000099182129,1.1339998245239258,0,0.0
1.1339998245239258,1.1970000267028809,0,0.0
1.1970000267028809,1.260000228881836,0,0.0
1.260000228881836,1.3229999542236328,0,0.0
1.3229999542236328,1.386000156402588,0,0.0
1.386000156402588,1.4489998817443848,535875,0.012142815691624531
1.4489998817443848,1.5120000839233398,0,0.0
1.5120000839233398,1.575000286102295,0,0.0
1.575000286102295,1.6380000114440918,0,0.0
1.6380000114440918,1.7010002136230469,0,0.0
1.7010002136230469,1.7639999389648438,313290,0.007099086033177606
1.7639999389648438,1.8270001411437988,0,0.0
1.8270001411437988,1.890000343322754,0,0.0
1.890000343322754,1.9530000686645508,0,0.0
1.9530000686645508,2.016000270843506,0,0.0
2.016000270843506,2.0789999961853027,0,0.0
2.0789999961853027,2.142000198364258,15594,0.0003533567863684496
2.142000198364258,2.2049999237060547,0,0.0
2.2049999237060547,2.2680001258850098,0,0.0
2.2680001258850098,2.331000328063965,0,0.0
2.331000328063965,2.3940000534057617,0,0.0
2.3940000534057617,2.457000255584717,58689,0.001329880494752978
2.457000255584717,2.5199999809265137,0,0.0
2.5199999809265137,2.5830001831054688,0,0.0
2.5830001831054688,2.646000385284424,0,0.0
2.646000385284424,2.7090001106262207,0,0.0
2.7090001106262207,2.772000312805176,0,0.0
2.772000312805176,2.8350000381469727,2798,6.340209620744658e-05
2.8350000381469727,2.8980002403259277,0,0.0
2.8980002403259277,2.961000442504883,0,0.0
2.961000442504883,3.0240001678466797,0,0.0
3.0240001678466797,3.0870003700256348,0,0.0
3.0870003700256348,3.15000057220459,590,1.3369276898639558e-05
